,ds,y
0,2017-12-31,128306.0
1,2013-12-31,211324.0
2,2016-12-31,147261.0
3,2018-12-31,125587.0
4,2014-12-31,181323.0
5,2012-12-31,171282.0
6,2015-12-31,160581.0
7,2010-12-31,154356.0
8,2019-12-31,119648.0
9,2011-12-31,167815.0
