,ds,y
0,2017-12-31,46589.0
1,2013-12-31,23752.0
2,2016-12-31,34381.0
3,2018-12-31,61736.0
4,2014-12-31,18088.0
5,2012-12-31,22075.0
6,2015-12-31,28710.0
7,2010-12-31,21276.0
8,2019-12-31,66903.0
9,2011-12-31,20400.0
