id,predict_time,category,flag,ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
71,2021-06-30,population,1000 persons,1967-12-31,21937.161229521350,6893.252868937809,37512.462895625766,30397.632570587700,30397.632570587700,30397.632570587700,-8460.471341066352,-8460.471341066352,-8460.471341066352,-8460.47134106635,-8460.47134106635,-8460.47134106635,0,0,0
72,2021-06-30,population,1000 persons,1968-12-31,22198.045233985882,7064.402389822506,36462.722041892930,30587.177877265550,30587.177877265550,30587.177877265550,-8389.132643279667,-8389.132643279667,-8389.132643279667,-8389.13264327967,-8389.13264327967,-8389.13264327967,0,0,0
73,2021-06-30,population,1000 persons,1969-12-31,22357.298919460400,6624.516710677075,37178.557297119110,30776.205300591813,30776.205300591813,30776.205300591813,-8418.906381131412,-8418.906381131412,-8418.906381131412,-8418.90638113141,-8418.90638113141,-8418.90638113141,0,0,0
74,2021-06-30,population,1000 persons,1970-12-31,22522.537126759715,7814.850634005074,37646.035338017910,30965.232722527670,30965.232722527670,30965.232722527670,-8442.695595767957,-8442.695595767957,-8442.695595767957,-8442.69559576796,-8442.69559576796,-8442.69559576796,0,0,0
75,2021-06-30,population,1000 persons,1971-12-31,22693.788803397183,8021.502553306557,38839.185066629010,31154.260144463526,31154.260144463526,31154.260144463526,-8460.471341066343,-8460.471341066343,-8460.471341066343,-8460.47134106634,-8460.47134106634,-8460.47134106634,0,0,0
76,2021-06-30,population,1000 persons,1972-12-31,22954.672806467468,7728.390034107722,38303.805304649504,31343.805449747150,31343.805449747150,31343.805449747150,-8389.132643279681,-8389.132643279681,-8389.132643279681,-8389.13264327968,-8389.13264327968,-8389.13264327968,0,0,0
77,2021-06-30,population,1000 persons,1973-12-31,23113.926490498090,7783.447336393013,37959.946284761754,31532.832871629485,31532.832871629485,31532.832871629485,-8418.906381131397,-8418.906381131397,-8418.906381131397,-8418.9063811314,-8418.9063811314,-8418.9063811314,0,0,0
78,2021-06-30,population,1000 persons,1974-12-31,23279.164697743858,7464.784299225270,37272.524559304040,31721.860293511825,31721.860293511825,31721.860293511825,-8442.695595767966,-8442.695595767966,-8442.695595767966,-8442.69559576797,-8442.69559576797,-8442.69559576797,0,0,0
79,2021-06-30,population,1000 persons,1975-12-31,23450.416373552085,8919.830018907750,39458.275071859214,31910.887714618446,31910.887714618446,31910.887714618446,-8460.471341066363,-8460.471341066363,-8460.471341066363,-8460.47134106636,-8460.47134106636,-8460.47134106636,0,0,0
80,2021-06-30,population,1000 persons,1976-12-31,23711.300375790910,7834.698370364693,38520.420119925130,32100.433019070570,32100.433019070570,32100.433019070570,-8389.132643279658,-8389.132643279658,-8389.132643279658,-8389.13264327966,-8389.13264327966,-8389.13264327966,0,0,0
