,ds,y
0,2017-12-31,681306.0
1,2013-12-31,815668.0
2,2016-12-31,763844.0
3,2018-12-31,688288.0
4,2014-12-31,786598.0
5,2012-12-31,737470.0
6,2015-12-31,794864.0
7,2010-12-31,586925.0
8,2019-12-31,654891.0
9,2011-12-31,799525.0
