,ds,y
200,2011-10-01,94.86026
201,2012-10-01,97.26649
202,2013-10-01,98.8159
203,2014-10-01,99.17485
204,2015-10-01,101.0285
205,2016-10-01,101.3438
206,2017-10-01,103.7186
207,2018-10-01,105.5235
208,2019-10-01,106.7505
209,2020-10-01,109.1557
210,2000-11-01,67.31026
211,2001-11-01,71.45115
212,2002-11-01,75.00399
213,2003-11-01,78.20216
214,2004-11-01,80.70575
215,2005-11-01,83.24279
216,2006-11-01,86.51904
217,2007-11-01,91.94904
218,2008-11-01,94.80145
219,2009-11-01,92.51182
220,2010-11-01,93.01476
221,2011-11-01,95.03973
222,2012-11-01,97.74916
223,2013-11-01,98.94975
224,2014-11-01,99.12517
225,2015-11-01,100.8378
226,2016-11-01,101.2191
227,2017-11-01,103.4651
228,2018-11-01,104.9618
229,2019-11-01,106.714
230,2020-11-01,108.1427
231,2000-12-01,68.14703
232,2001-12-01,72.1524
233,2002-12-01,75.47652
234,2003-12-01,78.53679
235,2004-12-01,80.92782
236,2005-12-01,84.30141
237,2006-12-01,86.97839
238,2007-12-01,92.73592
239,2008-12-01,94.95354
240,2009-12-01,92.69536
241,2010-12-01,93.35547
242,2011-12-01,95.34191
243,2012-12-01,98.22878
244,2013-12-01,99.40401
245,2014-12-01,99.07446
246,2015-12-01,100.8682
247,2016-12-01,101.6784
248,2017-12-01,103.4033
249,2018-12-01,104.7924
250,2019-12-01,106.5365
251,2020-12-01,107.7483
252,2001-01-01,3.66006
253,2002-01-01,5.40533
254,2003-01-01,4.85465
255,2004-01-01,4.01122
256,2005-01-01,3.24119
257,2006-01-01,4.42233
258,2007-01-01,2.37848
259,2008-01-01,7.00693
260,2009-01-01,1.86653
261,2010-01-01,-2.44098
262,2011-01-01,0.89422
263,2012-01-01,2.2564
264,2013-01-01,3.1614
265,2014-01-01,1.18776
266,2015-01-01,-0.43397
267,2016-01-01,2.09452
268,2017-01-01,0.9768
269,2018-01-01,1.27132
270,2019-01-01,0.94836
271,2020-01-01,2.02991
272,2001-02-01,4.68571
273,2002-02-01,5.04984
274,2003-02-01,4.54098
275,2004-02-01,3.94959
276,2005-02-01,3.45131
277,2006-02-01,4.32977
278,2007-02-01,2.49627
279,2008-02-01,7.03011
280,2009-02-01,1.5435
281,2010-02-01,-2.74617
282,2011-02-01,1.499
283,2012-02-01,2.55271
284,2013-02-01,2.77634
285,2014-02-01,1.08671
286,2015-02-01,0.19278
287,2016-02-01,1.26744
288,2017-02-01,1.68474
289,2018-02-01,0.95009
290,2019-02-01,1.39158
291,2020-02-01,1.99066
292,2001-03-01,5.61319
293,2002-03-01,4.75177
294,2003-03-01,4.36092
295,2004-03-01,4.10387
296,2005-03-01,3.35182
297,2006-03-01,3.9471
298,2007-03-01,2.856
299,2008-03-01,6.89234
300,2009-03-01,0.59536
301,2010-03-01,-2.06387
302,2011-03-01,1.81402
303,2012-03-01,2.31461
304,2013-03-01,2.5523
305,2014-03-01,0.53264
306,2015-03-01,0.37581
307,2016-03-01,1.71652
308,2017-03-01,1.3778
309,2018-03-01,1.38578
310,2019-03-01,0.94033
311,2020-03-01,2.50478
312,2001-04-01,5.55635
313,2002-04-01,5.12559
314,2003-04-01,3.73168
315,2004-04-01,4.56954
316,2005-04-01,3.51939
317,2006-04-01,3.47253
318,2007-04-01,3.24511
319,2008-04-01,6.62572
320,2009-04-01,-0.04982
321,2010-04-01,-1.86252
322,2011-04-01,2.22136
323,2012-04-01,2.2757
324,2013-04-01,2.60946
325,2014-04-01,0.13071
326,2015-04-01,0.4029
327,2016-04-01,1.96447
328,2017-04-01,1.12052
329,2018-04-01,1.58553
330,2019-04-01,0.80733
331,2020-04-01,3.97508
332,2001-05-01,6.41764
333,2002-05-01,5.0183
334,2003-05-01,3.57216
335,2004-05-01,4.74867
336,2005-05-01,3.16165
337,2006-05-01,3.58975
338,2007-05-01,3.15008
339,2008-05-01,6.70289
340,2009-05-01,-0.78037
341,2010-05-01,-1.35949
342,2011-05-01,2.52124
343,2012-05-01,1.82368
344,2013-05-01,3.42124
345,2014-05-01,-0.8132
346,2015-05-01,1.26127
347,2016-05-01,1.73031
348,2017-05-01,1.12927
349,2018-05-01,1.99471
350,2019-05-01,0.54358
351,2020-05-01,3.51184
352,2001-06-01,6.8288
353,2002-06-01,5.01317
354,2003-06-01,3.48456
355,2004-06-01,4.58095
356,2005-06-01,3.15617
357,2006-06-01,4.13658
358,2007-06-01,2.78662
359,2008-06-01,7.20075
360,2009-06-01,-1.82236
361,2010-06-01,-0.74597
362,2011-06-01,2.38368
363,2012-06-01,2.15596
364,2013-06-01,3.65091
365,2014-06-01,-1.47196
366,2015-06-01,1.81892
367,2016-06-01,1.48046
368,2017-06-01,0.82175
369,2018-06-01,2.50073
370,2019-06-01,0.48215
371,2020-06-01,2.7895
372,2001-07-01,6.84811
373,2002-07-01,4.7521
374,2003-07-01,3.63313
375,2004-07-01,4.45623
376,2005-07-01,2.4855
377,2006-07-01,4.78254
378,2007-07-01,2.63627
379,2008-07-01,7.0282
380,2009-07-01,-2.12738
381,2010-07-01,-0.33871
382,2011-07-01,2.37348
383,2012-07-01,1.80492
384,2013-07-01,4.39221
385,2014-07-01,-1.99555
386,2015-07-01,1.39149
387,2016-07-01,2.53416
388,2017-07-01,0.14589
389,2018-07-01,1.82398
390,2019-07-01,0.91945
391,2020-07-01,2.20495
392,2001-08-01,6.74619
393,2002-08-01,4.77426
394,2003-08-01,4.03736
395,2004-08-01,3.85972
396,2005-08-01,2.56668
397,2006-08-01,4.56448
398,2007-08-01,2.80032
399,2008-08-01,6.83874
400,2009-08-01,-2.10617
401,2010-08-01,-0.06894
402,2011-08-01,2.15187
403,2012-08-01,2.01648
404,2013-08-01,4.41565
405,2014-08-01,-2.18994
406,2015-08-01,1.85622
407,2016-08-01,1.77289
408,2017-08-01,0.04855
409,2018-08-01,2.00406
410,2019-08-01,0.98047
411,2020-08-01,2.19599
412,2001-09-01,6.41348
413,2002-09-01,4.9001
414,2003-09-01,4.39606
415,2004-09-01,2.99224
416,2005-09-01,2.75518
417,2006-09-01,4.63457
418,2007-09-01,3.44253
419,2008-09-01,6.13644
420,2009-09-01,-2.38961
421,2010-09-01,0.07992
422,2011-09-01,2.26893
423,2012-09-01,2.29561
424,2013-09-01,2.51806
425,2014-09-01,-0.76808
426,2015-09-01,1.82971
427,2016-09-01,0.7964
428,2017-09-01,1.21282
429,2018-09-01,1.72659
430,2019-09-01,0.89785
431,2020-09-01,2.36859
432,2001-10-01,6.0269
433,2002-10-01,5.17572
434,2003-10-01,4.26477
435,2004-10-01,2.96452
436,2005-10-01,2.90942
437,2006-10-01,4.38476
438,2007-10-01,5.51191
439,2008-10-01,3.99226
440,2009-10-01,-2.42238
441,2010-10-01,0.37501
442,2011-10-01,2.19576
443,2012-10-01,2.53661
444,2013-10-01,1.59295
445,2014-10-01,0.36325
446,2015-10-01,1.86907
447,2016-10-01,0.31209
448,2017-10-01,2.34331
449,2018-10-01,1.74019
450,2019-10-01,1.16277
451,2020-10-01,2.2531
452,2001-11-01,6.15195
453,2002-11-01,4.9724
454,2003-11-01,4.264
455,2004-11-01,3.20143
456,2005-11-01,3.14357
457,2006-11-01,3.93578
458,2007-11-01,6.27608
459,2008-11-01,3.10216
460,2009-11-01,-2.41519
461,2010-11-01,0.54365
462,2011-11-01,2.17704
463,2012-11-01,2.85084
464,2013-11-01,1.22824
465,2014-11-01,0.17728
466,2015-11-01,1.72775
467,2016-11-01,0.37813
468,2017-11-01,2.21895
469,2018-11-01,1.44658
