,ds,y,produce_type
4,2010-01-24,74.68,round
20,2010-01-31,72.09,round
36,2010-02-07,77.88,round
52,2010-02-14,86.74,round
68,2010-02-21,87.0,round
84,2010-02-28,95.38,round
100,2010-03-07,100.91,round
116,2010-03-14,107.79,round
132,2010-03-21,135.85,round
148,2010-03-28,125.05,round
164,2010-04-04,101.23,round
180,2010-04-11,0.0,round
196,2010-04-18,0.0,round
212,2010-04-25,0.0,round
228,2010-05-02,0.0,round
244,2010-05-09,0.0,round
260,2010-05-16,0.0,round
276,2010-05-23,0.0,round
292,2010-05-30,67.44,round
308,2010-06-06,61.3,round
324,2010-06-13,64.61,round
340,2010-06-20,54.12,round
356,2010-06-27,56.5,round
372,2010-07-04,53.42,round
388,2010-07-11,76.06,round
404,2010-07-18,83.55,round
420,2010-07-25,75.88,round
436,2010-08-01,62.66,round
452,2010-08-08,70.21,round
468,2010-08-15,64.22,round
484,2010-08-22,55.53,round
500,2010-08-29,66.0,round
516,2010-09-05,71.12,round
532,2010-09-12,63.21,round
548,2010-09-19,65.74,round
564,2010-09-26,73.47,round
580,2010-10-03,0.0,round
596,2010-10-10,0.0,round
612,2010-10-17,0.0,round
628,2010-10-24,76.87,round
644,2010-10-31,87.18,round
660,2010-11-07,93.21,round
676,2010-11-14,99.75,round
692,2010-11-21,113.6,round
708,2010-11-28,105.89,round
724,2010-12-05,90.19,round
740,2010-12-12,108.98,round
756,2010-12-19,115.46,round
772,2010-12-26,115.95,round
788,2011-01-02,83.62,round
804,2011-01-09,0.0,round
820,2011-01-16,0.0,round
836,2011-01-23,80.42,round
5,2011-01-30,67.33,round
21,2011-02-06,67.9,round
37,2011-02-13,73.27,round
53,2011-02-20,75.14,round
69,2011-02-27,66.51,round
85,2011-03-06,69.29,round
101,2011-03-13,75.46,round
117,2011-03-20,60.54,round
133,2011-03-27,48.68,round
149,2011-04-03,49.01,round
165,2011-04-10,55.43,round
181,2011-04-17,0.0,round
197,2011-04-24,0.0,round
213,2011-05-01,0.0,round
229,2011-05-08,0.0,round
245,2011-05-15,0.0,round
261,2011-05-22,0.0,round
277,2011-05-29,0.0,round
293,2011-06-05,39.98,round
309,2011-06-12,34.73,round
325,2011-06-19,34.55,round
341,2011-06-26,34.41,round
357,2011-07-03,33.23,round
373,2011-07-10,39.52,round
389,2011-07-17,42.43,round
405,2011-07-24,43.83,round
421,2011-07-31,43.99,round
437,2011-08-07,47.01,round
453,2011-08-14,37.37,round
469,2011-08-21,47.01,round
485,2011-08-28,45.14,round
501,2011-09-04,47.66,round
517,2011-09-11,52.42,round
533,2011-09-18,53.22,round
549,2011-09-25,52.12,round
565,2011-10-02,52.2,round
581,2011-10-09,0.0,round
597,2011-10-16,0.0,round
613,2011-10-23,0.0,round
629,2011-10-30,46.65,round
645,2011-11-06,60.32,round
661,2011-11-13,51.81,round
677,2011-11-20,51.73,round
693,2011-11-27,57.08,round
709,2011-12-04,52.79,round
725,2011-12-11,56.08,round
741,2011-12-18,51.57,round
757,2011-12-25,49.72,round
773,2012-01-01,52.79,round
789,2012-01-08,68.21,round
805,2012-01-15,70.33,round
821,2012-01-22,0.0,round
837,2012-01-29,0.0,round
6,2012-02-05,79.49,round
22,2012-02-12,80.19,round
38,2012-02-19,84.19,round
54,2012-02-26,64.03,round
70,2012-03-04,0.0,round
86,2012-03-11,80.55,round
102,2012-03-18,77.52,round
118,2012-03-25,93.97,round
134,2012-04-01,85.87,round
150,2012-04-08,63.69,round
166,2012-04-15,75.97,round
182,2012-04-22,58.67,round
198,2012-04-29,59.74,round
214,2012-05-06,75.37,round
230,2012-05-13,62.64,round
246,2012-05-20,60.55,round
262,2012-05-27,53.1,round
278,2012-06-03,66.39,round
294,2012-06-10,66.42,round
310,2012-06-17,66.05,round
326,2012-06-24,50.75,round
342,2012-07-01,50.58,round
358,2012-07-08,49.27,round
374,2012-07-15,43.07,round
390,2012-07-22,46.06,round
406,2012-07-29,46.85,round
422,2012-08-05,52.9,round
438,2012-08-12,47.84,round
454,2012-08-19,0.0,round
470,2012-08-26,77.75,round
486,2012-09-02,83.79,round
502,2012-09-09,71.81,round
518,2012-09-16,66.14,round
534,2012-09-23,66.48,round
550,2012-09-30,66.83,round
566,2012-10-07,56.39,round
582,2012-10-14,0.0,round
598,2012-10-21,86.59,round
614,2012-10-28,72.08,round
630,2012-11-04,76.91,round
646,2012-11-11,93.4,round
662,2012-11-18,75.74,round
678,2012-11-25,77.54,round
694,2012-12-02,77.12,round
